state,district,total_days,total_enrolments,total_updates,total_activity,avg_daily_enrolments,avg_daily_updates,avg_daily_activity,eur_mean,eur_std,stability_score,capacity_gap,daily_gap,operators_needed,stress_percentile,window_days,window_class,recommendation,reason
Andhra Pradesh,Chittoor,105,7948,363359,371307,0.9091741020361473,41.56474490963166,42.47391901166781,103.13352776163367,597.2533557747643,5.791012658293706,-355411,-3384.866666666667,0,29.98046875,105,mid_term,Monitor / No Action,Within acceptable range (stress=30.0%)
Andhra Pradesh,Cuddapah,105,5762,226848,232610,0.8117779656241195,31.95942519019442,32.77120315581854,92.49111437138752,498.1690717031931,5.38607074872214,-221086,-2105.5809523809526,0,25.78125,105,mid_term,Monitor / No Action,Within acceptable range (stress=25.8%)
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,103,651,17249,17900,0.1830708661417323,4.850674915635546,5.033745781777278,45.61924865936428,232.75985289698212,5.102117146159055,-16598,-161.14563106796118,0,8.88671875,103,mid_term,Monitor / No Action,Within acceptable range (stress=8.9%)
Andhra Pradesh,East Godavari,106,7504,401472,408976,0.5895663104965431,31.54242614707731,32.13199245757385,70.53535462486728,387.3618091996298,5.491661870814445,-393968,-3716.6792452830186,0,17.67578125,106,mid_term,Monitor / No Action,Within acceptable range (stress=17.7%)
Andhra Pradesh,Eluru,102,608,21041,21649,0.16828120675339053,5.823692222529754,5.991973429283144,50.41850686148544,257.13290282325454,5.099869451909966,-20433,-200.3235294117647,0,10.3515625,102,mid_term,Monitor / No Action,Within acceptable range (stress=10.4%)
Andhra Pradesh,Guntur,105,9480,408115,417595,0.978328173374613,42.11713106295149,43.09545923632611,118.6513891728752,607.7375690881577,5.12200026754363,-398635,-3796.5238095238096,0,34.5703125,105,mid_term,Monitor / No Action,Within acceptable range (stress=34.6%)
Andhra Pradesh,Hyderabad,105,4708,129147,133855,0.9020885227054991,24.745545123586894,25.647633646292395,101.81700195566926,630.8925411538086,6.196276974954725,-124439,-1185.1333333333334,0,29.296875,105,mid_term,Monitor / No Action,Within acceptable range (stress=29.3%)
Andhra Pradesh,K.V. Rangareddy,86,16,500,516,0.0446927374301676,1.3966480446927374,1.441340782122905,27.944822460230444,181.19148656844044,6.4836698517745575,-484,-5.627906976744186,0,5.37109375,86,mid_term,Monitor / No Action,Within acceptable range (stress=5.4%)
Andhra Pradesh,K.V.Rangareddy,92,67,1092,1159,0.08769633507853403,1.4293193717277486,1.5170157068062826,60.228430609214726,259.11592801728,4.302148059451136,-1025,-11.141304347826088,0,13.37890625,92,mid_term,Monitor / No Action,Within acceptable range (stress=13.4%)
Andhra Pradesh,Kadiri Road,1,0,1,1,0.0,1.0,1.0,0.0,,,-1,-1.0,0,2.001953125,1,short_term,Monitor / No Action,Within acceptable range (stress=2.0%)
Andhra Pradesh,Kakinada,104,932,31700,32632,0.3258741258741259,11.083916083916083,11.40979020979021,61.6123423458378,292.8215458932823,4.75256713472327,-30768,-295.84615384615387,0,13.8671875,104,mid_term,Monitor / No Action,Within acceptable range (stress=13.9%)
Andhra Pradesh,Karim Nagar,94,81,2473,2554,0.08690987124463519,2.65343347639485,2.740343347639485,34.358356691673556,209.59732472827264,6.100152765056432,-2392,-25.4468085106383,0,6.0546875,94,mid_term,Monitor / No Action,Within acceptable range (stress=6.1%)
Andhra Pradesh,Karimnagar,103,643,24279,24922,0.15633357646486748,5.902990517870168,6.059324094335035,31.404716626902374,194.115562690596,6.180899006275664,-23636,-229.4757281553398,0,5.6640625,103,mid_term,Monitor / No Action,Within acceptable range (stress=5.7%)
Andhra Pradesh,Khammam,103,1106,63897,65003,0.2400173611111111,13.866536458333334,14.106553819444445,29.331326267904576,229.68145882631552,7.830318561458008,-62791,-609.6213592233009,0,5.56640625,103,mid_term,Monitor / No Action,Within acceptable range (stress=5.6%)
Andhra Pradesh,Krishna,106,6568,307817,314385,0.6714373338785524,31.46769576773666,32.139133101615215,71.31710873424866,403.3455794541823,5.65558434754855,-301249,-2841.9716981132074,0,18.06640625,106,mid_term,Monitor / No Action,Within acceptable range (stress=18.1%)
Andhra Pradesh,Kurnool,105,11516,467565,479081,1.4616068028937683,59.34319076024876,60.80479756314253,137.542870570407,770.7479801202428,5.603651961544201,-456049,-4343.323809523809,0,40.52734375,105,mid_term,Monitor / No Action,Within acceptable range (stress=40.5%)
Andhra Pradesh,Mahabub Nagar,104,1471,22579,24050,0.37776065742167436,5.798407806882383,6.176168464304057,48.60992997317683,273.77873820420484,5.632040743826009,-21108,-202.96153846153845,0,9.66796875,104,mid_term,Monitor / No Action,Within acceptable range (stress=9.7%)
Andhra Pradesh,Mahabubnagar,72,7,177,184,0.04216867469879518,1.0662650602409638,1.108433734939759,36.15059639156025,187.21339801141406,5.178565172715855,-170,-2.361111111111111,0,6.4453125,72,mid_term,Monitor / No Action,Within acceptable range (stress=6.4%)
Andhra Pradesh,Mahbubnagar,101,708,21693,22401,0.20432900432900433,6.260606060606061,6.464935064935065,34.1137443026165,212.19177317844415,6.219943239092947,-20985,-207.77227722772278,0,5.95703125,101,mid_term,Monitor / No Action,Within acceptable range (stress=6.0%)
Andhra Pradesh,Medak,102,1376,31304,32680,0.3344676713660671,7.609139523578026,7.943607194944093,56.21614792295218,299.93067280600616,5.3352168135080955,-29928,-293.4117647058824,0,12.01171875,102,mid_term,Monitor / No Action,Within acceptable range (stress=12.0%)
Andhra Pradesh,N. T. R,104,912,39700,40612,0.3058350100603622,13.313212608987257,13.619047619047619,48.012302786753,255.18841542363313,5.314952328046059,-38788,-372.96153846153845,0,9.375,104,mid_term,Monitor / No Action,Within acceptable range (stress=9.4%)
Andhra Pradesh,Nalgonda,103,1137,53848,54985,0.24331264712176331,11.523218489193237,11.766531136315,28.501114901745694,207.5234123847466,7.280982941095231,-52711,-511.75728155339806,0,5.46875,103,mid_term,Monitor / No Action,Within acceptable range (stress=5.5%)
Andhra Pradesh,Nandyal,103,886,29351,30237,0.2859909619109103,9.474176888315043,9.760167850225953,50.1141230939027,256.16067451251917,5.111444583954044,-28465,-276.3592233009709,0,9.9609375,103,mid_term,Monitor / No Action,Within acceptable range (stress=10.0%)
Andhra Pradesh,Nellore,105,5264,204092,209356,0.7352982260092191,28.508450900963823,29.24374912697304,78.02463145869872,442.63201887031914,5.672905308105291,-198828,-1893.6,0,20.5078125,105,mid_term,Monitor / No Action,Within acceptable range (stress=20.5%)
Andhra Pradesh,Nizamabad,100,498,14571,15069,0.20612582781456953,6.031043046357616,6.237168874172186,35.639597966868116,251.6457836560193,7.060649877141566,-14073,-140.73,0,6.25,100,mid_term,Monitor / No Action,Within acceptable range (stress=6.2%)
Andhra Pradesh,Palnadu,103,830,27425,28255,0.2817379497623897,9.309232858112695,9.590970807875085,74.4086303875306,343.1054021156738,4.611034893316318,-26595,-258.20388349514565,0,18.84765625,103,mid_term,Monitor / No Action,Within acceptable range (stress=18.8%)
Andhra Pradesh,Parvathipuram Manyam,103,489,17104,17593,0.2562893081761006,8.964360587002096,9.220649895178196,48.28907170931105,264.6355507397322,5.480123374691665,-16615,-161.3106796116505,0,9.47265625,103,mid_term,Monitor / No Action,Within acceptable range (stress=9.5%)
Andhra Pradesh,Prakasam,105,7390,294859,302249,0.8127130759925217,32.42703178268998,33.239744858682506,84.09600361566417,454.2042793797541,5.4009567505583815,-287469,-2737.8,0,23.046875,105,mid_term,Monitor / No Action,Within acceptable range (stress=23.0%)
Andhra Pradesh,Rangareddi,102,1834,69992,71826,0.3926354099764504,14.984371654891886,15.377007064868337,45.448578177776476,295.70515539725955,6.506224419522793,-68158,-668.2156862745098,0,8.69140625,102,mid_term,Monitor / No Action,Within acceptable range (stress=8.7%)
Andhra Pradesh,Spsr Nellore,3,2183,0,2183,136.4375,0.0,136.4375,136437.5,83942.81287479788,0.6152473642477363,2183,727.6666666666666,30,97.4609375,3,short_term,Mobile Aadhaar Van,High stress (97.5%) in short-term (3 days)
Andhra Pradesh,Sri Potti Sriramulu Nellore,104,1562,26034,27596,0.37485001199904006,6.2476601871850255,6.622510199184065,106.90627539272656,530.2596687386466,4.959996097465999,-24472,-235.30769230769232,0,31.15234375,104,mid_term,Monitor / No Action,Within acceptable range (stress=31.2%)
Andhra Pradesh,Sri Sathya Sai,103,901,26229,27130,0.2622998544395924,7.635807860262009,7.8981077147016014,57.711453732425134,274.39749005380224,4.754562876948601,-25328,-245.90291262135923,0,12.5,103,mid_term,Monitor / No Action,Within acceptable range (stress=12.5%)
Andhra Pradesh,Srikakulam,104,4176,283069,287245,0.6821300228683437,46.23799411956877,46.92012414243711,66.0481146028024,352.66712229510347,5.3394678250560546,-278893,-2681.6634615384614,0,15.8203125,104,mid_term,Monitor / No Action,Within acceptable range (stress=15.8%)
Andhra Pradesh,Tirupati,104,1683,33442,35125,0.44547379565907885,8.851773425092642,9.29724722075172,152.32703400023857,872.2077292188956,5.725851678867788,-31759,-305.375,0,44.62890625,104,mid_term,Monitor / No Action,Within acceptable range (stress=44.6%)
Andhra Pradesh,Visakhapatanam,1,226,0,226,226.0,0.0,226.0,226000.0,,,226,226.0,10,98.046875,1,short_term,Mobile Aadhaar Van,High stress (98.0%) in short-term (1 days)
Andhra Pradesh,Visakhapatnam,106,7910,417417,425327,0.9493518963034085,50.09805568891023,51.047407585213634,117.56789868217243,632.7812995985323,5.382216782596129,-409507,-3863.2735849056603,0,33.88671875,106,mid_term,Monitor / No Action,Within acceptable range (stress=33.9%)
Andhra Pradesh,Vizianagaram,106,3745,212489,216234,0.6344231746569541,35.99678129764526,36.63120447230222,74.60108562535183,411.8599657310292,5.520756722531466,-208744,-1969.2830188679245,0,18.9453125,106,mid_term,Monitor / No Action,Within acceptable range (stress=18.9%)
Andhra Pradesh,Warangal,103,1004,75744,76748,0.18551367331855137,13.995565410199557,14.181079083518108,20.908980048246107,176.5362541832928,8.44267922666432,-74740,-725.6310679611651,0,5.078125,103,mid_term,Monitor / No Action,Within acceptable range (stress=5.1%)
Andhra Pradesh,West Godavari,106,5752,303466,309218,0.5575804575416828,29.41702210158976,29.974602559131448,76.93194934342658,420.7355656921502,5.468860472435525,-297714,-2808.622641509434,0,19.7265625,106,mid_term,Monitor / No Action,Within acceptable range (stress=19.7%)
Andhra Pradesh,Y. S. R,104,787,27545,28332,0.23928245667376102,8.374885983581636,8.614168440255396,61.168041904383834,284.8006303363952,4.6559602941236236,-26758,-257.28846153846155,0,13.671875,104,mid_term,Monitor / No Action,Within acceptable range (stress=13.7%)
Arunachal Pradesh,Anjaw,89,36,1718,1754,0.4044943820224719,19.303370786516854,19.707865168539325,56.20893320501941,314.76560774764573,5.599821771706677,-1682,-18.89887640449438,0,11.9140625,89,mid_term,Monitor / No Action,Within acceptable range (stress=11.9%)
Arunachal Pradesh,Changlang,103,790,12560,13350,1.4602587800369686,23.21626617375231,24.67652495378928,75.92998721154311,486.6383469658656,6.408955880029521,-11770,-114.27184466019418,0,19.43359375,103,mid_term,Monitor / No Action,Within acceptable range (stress=19.4%)
Arunachal Pradesh,Dibang Valley,79,10,573,583,0.10989010989010989,6.2967032967032965,6.406593406593407,43.972843794273274,206.12946199298477,4.687547055411815,-563,-7.1265822784810124,0,8.3984375,79,mid_term,Monitor / No Action,Within acceptable range (stress=8.4%)
Arunachal Pradesh,East Kameng,98,179,5443,5622,1.084848484848485,32.987878787878785,34.07272727272727,157.64010988465986,903.5826024313495,5.731896984818664,-5264,-53.714285714285715,0,46.09375,98,mid_term,Monitor / No Action,Within acceptable range (stress=46.1%)
Arunachal Pradesh,East Siang,97,165,5023,5188,0.9217877094972067,28.06145251396648,28.98324022346369,83.85792712896962,422.2814587659794,5.035617235080264,-4858,-50.08247422680412,0,22.8515625,97,mid_term,Monitor / No Action,Within acceptable range (stress=22.9%)
Arunachal Pradesh,Kamle,56,30,348,378,0.5357142857142857,6.214285714285714,6.75,160.91934024754605,625.9528074759637,3.8898302508747595,-318,-5.678571428571429,0,46.77734375,56,mid_term,Monitor / No Action,Within acceptable range (stress=46.8%)
Arunachal Pradesh,Kra Daadi,91,80,1655,1735,0.8791208791208791,18.186813186813186,19.065934065934066,153.97078785165755,744.182408434178,4.833238730403991,-1575,-17.307692307692307,0,45.21484375,91,mid_term,Monitor / No Action,Within acceptable range (stress=45.2%)
Arunachal Pradesh,Kurung Kumey,94,73,3571,3644,0.776595744680851,37.98936170212766,38.765957446808514,127.7199910830117,675.7444113508949,5.290785842021048,-3498,-37.212765957446805,0,37.59765625,94,mid_term,Monitor / No Action,Within acceptable range (stress=37.6%)
Arunachal Pradesh,Leparada,32,3,47,50,0.09375,1.46875,1.5625,62.5156171914043,245.9306073894906,3.933843807263851,-44,-1.375,0,14.35546875,32,mid_term,Monitor / No Action,Within acceptable range (stress=14.4%)
Arunachal Pradesh,Lohit,97,157,5201,5358,0.5130718954248366,16.99673202614379,17.50980392156863,52.36145360571218,384.7973886211329,7.34872722960323,-5044,-52.0,0,10.83984375,97,mid_term,Monitor / No Action,Within acceptable range (stress=10.8%)
Arunachal Pradesh,Longding,100,878,3743,4621,3.192727272727273,13.610909090909091,16.803636363636365,243.84799573630355,1846.9237192239623,7.574046854887242,-2865,-28.65,0,61.42578125,100,mid_term,Monitor / No Action,Within acceptable range (stress=61.4%)
Arunachal Pradesh,Lower Dibang Valley,97,103,3070,3173,1.0618556701030928,31.649484536082475,32.71134020618557,175.32328623116948,661.5826366235075,3.773479709201235,-2967,-30.587628865979383,0,50.09765625,97,mid_term,Monitor / No Action,Within acceptable range (stress=50.1%)
Arunachal Pradesh,Lower Siang,84,31,600,631,0.1987179487179487,3.8461538461538463,4.044871794871795,19.30846049853303,137.76681106318094,7.134679452781567,-569,-6.773809523809524,0,4.98046875,84,mid_term,Monitor / No Action,Within acceptable range (stress=5.0%)
Arunachal Pradesh,Lower Subansiri,100,105,3854,3959,0.6176470588235294,22.67058823529412,23.288235294117648,117.6921605641503,508.18890318831143,4.317913638756569,-3749,-37.49,0,33.984375,100,mid_term,Monitor / No Action,Within acceptable range (stress=34.0%)
Arunachal Pradesh,Namsai,98,148,7606,7754,0.5543071161048689,28.48689138576779,29.04119850187266,59.99869562102069,330.40678392430993,5.506807668013454,-7458,-76.10204081632654,0,13.28125,98,mid_term,Monitor / No Action,Within acceptable range (stress=13.3%)
Arunachal Pradesh,Pakke Kessang,51,4,130,134,0.0784313725490196,2.549019607843137,2.627450980392157,39.22940608103796,196.0364266333771,4.997053209911366,-126,-2.4705882352941178,0,7.03125,51,mid_term,Monitor / No Action,Within acceptable range (stress=7.0%)
Arunachal Pradesh,Papum Pare,104,434,12690,13124,0.6625954198473283,19.374045801526716,20.036641221374047,109.99285932399496,479.0337515422064,4.355095407018836,-12256,-117.84615384615384,0,31.8359375,104,mid_term,Monitor / No Action,Within acceptable range (stress=31.8%)
Arunachal Pradesh,Shi-Yomi,83,31,685,716,0.36904761904761907,8.154761904761905,8.523809523809524,0.08320424412143068,0.24602401839408447,2.9217531843085487,-654,-7.879518072289157,0,4.19921875,83,mid_term,Monitor / No Action,Within acceptable range (stress=4.2%)
Arunachal Pradesh,Siang,98,102,1874,1976,0.576271186440678,10.587570621468927,11.163841807909604,186.49506407297991,925.779376877435,4.9640692498215815,-1772,-18.081632653061224,0,52.34375,98,mid_term,Monitor / No Action,Within acceptable range (stress=52.3%)
Arunachal Pradesh,Tawang,99,153,3212,3365,0.6023622047244095,12.645669291338583,13.248031496062993,114.27774387841843,524.8110338319289,4.592376639966197,-3059,-30.8989898989899,0,33.49609375,99,mid_term,Monitor / No Action,Within acceptable range (stress=33.5%)
Arunachal Pradesh,Tirap,94,89,2663,2752,0.2557471264367816,7.652298850574713,7.908045977011494,31.67407876140358,243.95215537704962,7.701706354533454,-2574,-27.382978723404257,0,5.76171875,94,mid_term,Monitor / No Action,Within acceptable range (stress=5.8%)
Arunachal Pradesh,Upper Siang,96,41,2631,2672,0.21578947368421053,13.847368421052632,14.063157894736841,15.83396917359002,124.98415815639638,7.892920837815602,-2590,-26.979166666666668,0,4.8828125,96,mid_term,Monitor / No Action,Within acceptable range (stress=4.9%)
Arunachal Pradesh,Upper Subansiri,96,139,5131,5270,1.4479166666666667,53.447916666666664,54.895833333333336,218.83909662131586,1038.2298381671983,4.744239534694442,-4992,-52.0,0,57.71484375,96,mid_term,Monitor / No Action,Within acceptable range (stress=57.7%)
Arunachal Pradesh,West Kameng,103,273,7494,7767,0.4831858407079646,13.263716814159292,13.746902654867256,56.69551555398565,292.2882858220122,5.155313037601037,-7221,-70.10679611650485,0,12.109375,103,mid_term,Monitor / No Action,Within acceptable range (stress=12.1%)
Arunachal Pradesh,West Siang,101,186,6928,7114,0.577639751552795,21.51552795031056,22.093167701863354,90.11472523460347,403.97233444277856,4.482817326178023,-6742,-66.75247524752476,0,24.8046875,101,mid_term,Monitor / No Action,Within acceptable range (stress=24.8%)
Assam,Bajali,85,26,669,695,0.07386363636363637,1.9005681818181819,1.9744318181818181,39.79316534499115,209.75236517426316,5.2709326444175435,-643,-7.564705882352941,0,7.12890625,85,mid_term,Monitor / No Action,Within acceptable range (stress=7.1%)
Assam,Baksa,106,3584,29291,32875,2.064516129032258,16.872695852534562,18.93721198156682,193.69838829253175,1526.4936530168743,7.880735538057089,-25707,-242.5188679245283,0,53.80859375,106,mid_term,Monitor / No Action,Within acceptable range (stress=53.8%)
Assam,Barpeta,107,14033,137732,151765,6.463841547673883,63.44173192077384,69.90557346844771,857.3286201432223,18891.38599238922,22.03514908213867,-123699,-1156.0654205607477,0,91.9921875,107,mid_term,Extra Counters,Sustained stress (92.0%) over mid-term (107 days)
Assam,Biswanath,105,1272,17212,18484,0.9556724267468069,12.931630353117956,13.887302779864763,105.3267974918935,543.7511104865567,5.162465402624661,-15940,-151.8095238095238,0,30.46875,105,mid_term,Monitor / No Action,Within acceptable range (stress=30.5%)
Assam,Bongaigaon,107,3103,61328,64431,2.564462809917355,50.684297520661154,53.24876033057851,283.5613284977828,3204.332722443342,11.300276519165333,-58225,-544.1588785046729,0,65.234375,107,mid_term,Monitor / No Action,Within acceptable range (stress=65.2%)
Assam,Cachar,106,17211,107206,124417,3.545005149330587,22.081565396498455,25.626570545829043,343.93028142615964,5699.4985399221005,16.571620110530002,-89995,-849.0094339622641,0,69.53125,106,mid_term,Monitor / No Action,Within acceptable range (stress=69.5%)
Assam,Charaideo,102,1182,15708,16890,1.3889541715628673,18.45828437132785,19.847238542890718,123.4911477906834,652.6167056094517,5.284681797871257,-14526,-142.41176470588235,0,35.9375,102,mid_term,Monitor / No Action,Within acceptable range (stress=35.9%)
Assam,Chirang,104,3286,36448,39734,2.9603603603603603,32.836036036036035,35.796396396396396,191.9874838278566,1871.933650322793,9.750239248731358,-33162,-318.86538461538464,0,53.22265625,104,mid_term,Monitor / No Action,Within acceptable range (stress=53.2%)
Assam,Darrang,105,7441,46607,54048,5.520029673590504,34.574925816023736,40.09495548961424,348.93574217911043,1916.9610726038618,5.4937208980413965,-39166,-373.0095238095238,0,70.1171875,105,mid_term,Monitor / No Action,Within acceptable range (stress=70.1%)
Assam,Dhemaji,107,6803,36504,43307,5.910512597741095,31.715030408340574,37.62554300608167,311.215539987508,2863.0358719895826,9.199497790523932,-29701,-277.57943925233644,0,67.3828125,107,mid_term,Monitor / No Action,Within acceptable range (stress=67.4%)
Assam,Dhubri,106,12362,117612,129974,6.1563745019920315,58.57171314741036,64.7280876494024,704.8364219623129,5424.273128796894,7.695779139670773,-105250,-992.9245283018868,0,88.96484375,106,mid_term,Extra Counters,Sustained stress (89.0%) over mid-term (106 days)
Assam,Dibrugarh,103,6886,46783,53669,2.975799481417459,20.217372515125323,23.193171996542784,124.18639288812078,956.311849451669,7.7005550016916855,-39897,-387.3495145631068,0,36.03515625,103,mid_term,Monitor / No Action,Within acceptable range (stress=36.0%)
Assam,Dima Hasao,82,248,233,481,1.355191256830601,1.273224043715847,2.628415300546448,1311.5083493846294,12102.862729161416,9.228194015422137,15,0.18292682926829268,1,95.3125,82,mid_term,Extra Counters,Sustained stress (95.3%) over mid-term (82 days)
Assam,Goalpara,104,9714,55645,65359,7.789895749799519,44.62309542902967,52.41299117882919,590.4039473937281,5480.6917250161905,9.282936650869962,-45931,-441.6442307692308,0,84.86328125,104,mid_term,Monitor / No Action,Within acceptable range (stress=84.9%)
Assam,Golaghat,103,11329,41410,52739,6.241873278236914,22.81542699724518,29.057300275482092,420.61920490546765,5167.209080100408,12.28473815531927,-30081,-292.0485436893204,0,77.05078125,103,mid_term,Monitor / No Action,Within acceptable range (stress=77.1%)
Assam,Hailakandi,104,5399,36711,42110,3.8509272467902997,26.184736091298145,30.035663338088444,416.0563893401015,1826.5843373111313,4.390222080199639,-31312,-301.0769230769231,0,76.5625,104,mid_term,Monitor / No Action,Within acceptable range (stress=76.6%)
Assam,Hojai,107,6940,46411,53351,7.154639175257732,47.84639175257732,55.00103092783505,444.4521109193974,3348.8886571272915,7.5348525521618415,-39471,-368.8878504672897,0,78.90625,107,mid_term,Monitor / No Action,Within acceptable range (stress=78.9%)
Assam,Jorhat,105,4744,29940,34684,1.7635687732342007,11.130111524163569,12.89368029739777,192.73605727443078,2614.010561967144,13.56257379319202,-25196,-239.96190476190475,0,53.41796875,105,mid_term,Monitor / No Action,Within acceptable range (stress=53.4%)
Assam,Kamrup,106,13412,75141,88553,3.5406546990496306,19.836589229144668,23.377243928194297,213.9958458457179,1640.5648142714365,7.666303714841713,-61729,-582.3490566037735,0,56.34765625,106,mid_term,Monitor / No Action,Within acceptable range (stress=56.3%)
Assam,Kamrup Metro,105,5875,45102,50977,1.7033922876196,13.076833864888373,14.780226152507973,135.3263301583177,703.1663056274409,5.196040628340304,-39227,-373.5904761904762,0,39.6484375,105,mid_term,Monitor / No Action,Within acceptable range (stress=39.6%)
Assam,Karbi Anglong,105,7967,61468,69435,4.3919514884233735,33.885336273428884,38.27728776185226,206.30988688537514,1244.6885686721748,6.033072648094014,-53501,-509.53333333333336,0,55.56640625,105,mid_term,Monitor / No Action,Within acceptable range (stress=55.6%)
Assam,Karimganj,105,14599,64789,79388,5.86069851465275,26.009233239662787,31.869931754315537,513.3291834444356,2336.6820161807705,4.5520058853770875,-50190,-478.0,0,81.8359375,105,mid_term,Monitor / No Action,Within acceptable range (stress=81.8%)
Assam,Kokrajhar,108,4520,44713,49233,2.9561805101373446,29.243296272073252,32.199476782210596,353.9542544455667,4774.457668718391,13.488873547581804,-40193,-372.1574074074074,0,70.5078125,108,mid_term,Monitor / No Action,Within acceptable range (stress=70.5%)
Assam,Lakhimpur,107,7084,54930,62014,4.42473454091193,34.30980637101811,38.73454091193005,344.945079813245,2972.320428870899,8.616768251084702,-47846,-447.1588785046729,0,69.62890625,107,mid_term,Monitor / No Action,Within acceptable range (stress=69.6%)
Assam,Majuli,99,511,5877,6388,1.225419664268585,14.093525179856115,15.318944844124701,93.6266410514999,517.3542048336283,5.525656729395302,-5366,-54.2020202020202,0,26.26953125,99,mid_term,Monitor / No Action,Within acceptable range (stress=26.3%)
Assam,Marigaon,106,10282,65785,76067,7.521580102414045,48.12362838332114,55.64520848573519,739.72306184738,7532.700364848909,10.183121995567934,-55503,-523.6132075471698,0,89.84375,106,mid_term,Extra Counters,Sustained stress (89.8%) over mid-term (106 days)
Assam,Nagaon,107,12589,186872,199461,3.785027059530968,56.185207456404086,59.970234515935054,292.6557725631282,2018.868680161875,6.8984177693218784,-174283,-1628.8130841121495,0,65.72265625,107,mid_term,Monitor / No Action,Within acceptable range (stress=65.7%)
Assam,Nalbari,105,3736,34081,37817,1.5286415711947627,13.944762684124386,15.47340425531915,136.4347691536012,798.9727184186085,5.856035579050493,-30345,-289.0,0,40.234375,105,mid_term,Monitor / No Action,Within acceptable range (stress=40.2%)
Assam,North Cachar Hills,105,1043,6809,7852,1.8826714801444044,12.290613718411553,14.173285198555957,95.84062788662145,445.81923525080003,4.651624195889019,-5766,-54.91428571428571,0,26.7578125,105,mid_term,Monitor / No Action,Within acceptable range (stress=26.8%)
