state,district,avg_daily_enrolments,avg_daily_updates,daily_gap,operators_needed,stress_percentile,recommendation
Andhra Pradesh,Khammam,0.2400173611111111,13.866536458333334,-609.6213592233009,0,5.56640625,Monitor / No Action
Andhra Pradesh,Krishna,0.6714373338785524,31.46769576773666,-2841.9716981132074,0,18.06640625,Monitor / No Action
Andhra Pradesh,Kurnool,1.4616068028937683,59.34319076024876,-4343.323809523809,0,40.52734375,Monitor / No Action
Andhra Pradesh,Mahabub Nagar,0.37776065742167436,5.798407806882383,-202.96153846153845,0,9.66796875,Monitor / No Action
Andhra Pradesh,Mahabubnagar,0.04216867469879518,1.0662650602409638,-2.361111111111111,0,6.4453125,Monitor / No Action
Andhra Pradesh,Mahbubnagar,0.20432900432900433,6.260606060606061,-207.77227722772278,0,5.95703125,Monitor / No Action
Andhra Pradesh,Medak,0.3344676713660671,7.609139523578026,-293.4117647058824,0,12.01171875,Monitor / No Action
Andhra Pradesh,N. T. R,0.3058350100603622,13.313212608987257,-372.96153846153845,0,9.375,Monitor / No Action
Andhra Pradesh,Nalgonda,0.24331264712176331,11.523218489193237,-511.75728155339806,0,5.46875,Monitor / No Action
Andhra Pradesh,Nandyal,0.2859909619109103,9.474176888315043,-276.3592233009709,0,9.9609375,Monitor / No Action
Andhra Pradesh,Nellore,0.7352982260092191,28.508450900963823,-1893.6,0,20.5078125,Monitor / No Action
Andhra Pradesh,Nizamabad,0.20612582781456953,6.031043046357616,-140.73,0,6.25,Monitor / No Action
Andhra Pradesh,Palnadu,0.2817379497623897,9.309232858112695,-258.20388349514565,0,18.84765625,Monitor / No Action
Andhra Pradesh,Parvathipuram Manyam,0.2562893081761006,8.964360587002096,-161.3106796116505,0,9.47265625,Monitor / No Action
Andhra Pradesh,Prakasam,0.8127130759925217,32.42703178268998,-2737.8,0,23.046875,Monitor / No Action
Andhra Pradesh,Rangareddi,0.3926354099764504,14.984371654891886,-668.2156862745098,0,8.69140625,Monitor / No Action
Andhra Pradesh,Sri Potti Sriramulu Nellore,0.37485001199904006,6.2476601871850255,-235.30769230769232,0,31.15234375,Monitor / No Action
Andhra Pradesh,Sri Sathya Sai,0.2622998544395924,7.635807860262009,-245.90291262135923,0,12.5,Monitor / No Action
Andhra Pradesh,Srikakulam,0.6821300228683437,46.23799411956877,-2681.6634615384614,0,15.8203125,Monitor / No Action
Andhra Pradesh,Tirupati,0.44547379565907885,8.851773425092642,-305.375,0,44.62890625,Monitor / No Action
Andhra Pradesh,Visakhapatnam,0.9493518963034085,50.09805568891023,-3863.2735849056603,0,33.88671875,Monitor / No Action
Andhra Pradesh,Vizianagaram,0.6344231746569541,35.99678129764526,-1969.2830188679245,0,18.9453125,Monitor / No Action
Andhra Pradesh,Warangal,0.18551367331855137,13.995565410199557,-725.6310679611651,0,5.078125,Monitor / No Action
Andhra Pradesh,West Godavari,0.5575804575416828,29.41702210158976,-2808.622641509434,0,19.7265625,Monitor / No Action
Andhra Pradesh,Y. S. R,0.23928245667376102,8.374885983581636,-257.28846153846155,0,13.671875,Monitor / No Action
Arunachal Pradesh,Anjaw,0.4044943820224719,19.303370786516854,-18.89887640449438,0,11.9140625,Monitor / No Action
Arunachal Pradesh,Changlang,1.4602587800369686,23.21626617375231,-114.27184466019418,0,19.43359375,Monitor / No Action
Arunachal Pradesh,Dibang Valley,0.10989010989010989,6.2967032967032965,-7.1265822784810124,0,8.3984375,Monitor / No Action
Arunachal Pradesh,East Kameng,1.084848484848485,32.987878787878785,-53.714285714285715,0,46.09375,Monitor / No Action
Arunachal Pradesh,East Siang,0.9217877094972067,28.06145251396648,-50.08247422680412,0,22.8515625,Monitor / No Action
Arunachal Pradesh,Kamle,0.5357142857142857,6.214285714285714,-5.678571428571429,0,46.77734375,Monitor / No Action
Arunachal Pradesh,Kra Daadi,0.8791208791208791,18.186813186813186,-17.307692307692307,0,45.21484375,Monitor / No Action
Arunachal Pradesh,Kurung Kumey,0.776595744680851,37.98936170212766,-37.212765957446805,0,37.59765625,Monitor / No Action
Arunachal Pradesh,Leparada,0.09375,1.46875,-1.375,0,14.35546875,Monitor / No Action
Arunachal Pradesh,Lohit,0.5130718954248366,16.99673202614379,-52.0,0,10.83984375,Monitor / No Action
Arunachal Pradesh,Longding,3.192727272727273,13.610909090909091,-28.65,0,61.42578125,Monitor / No Action
Arunachal Pradesh,Lower Dibang Valley,1.0618556701030928,31.649484536082475,-30.587628865979383,0,50.09765625,Monitor / No Action
Arunachal Pradesh,Lower Siang,0.1987179487179487,3.8461538461538463,-6.773809523809524,0,4.98046875,Monitor / No Action
Arunachal Pradesh,Lower Subansiri,0.6176470588235294,22.67058823529412,-37.49,0,33.984375,Monitor / No Action
Arunachal Pradesh,Namsai,0.5543071161048689,28.48689138576779,-76.10204081632654,0,13.28125,Monitor / No Action
Arunachal Pradesh,Pakke Kessang,0.0784313725490196,2.549019607843137,-2.4705882352941178,0,7.03125,Monitor / No Action
Arunachal Pradesh,Papum Pare,0.6625954198473283,19.374045801526716,-117.84615384615384,0,31.8359375,Monitor / No Action
Arunachal Pradesh,Shi-Yomi,0.36904761904761907,8.154761904761905,-7.879518072289157,0,4.19921875,Monitor / No Action
Arunachal Pradesh,Siang,0.576271186440678,10.587570621468927,-18.081632653061224,0,52.34375,Monitor / No Action
Arunachal Pradesh,Tawang,0.6023622047244095,12.645669291338583,-30.8989898989899,0,33.49609375,Monitor / No Action
Arunachal Pradesh,Tirap,0.2557471264367816,7.652298850574713,-27.382978723404257,0,5.76171875,Monitor / No Action
Arunachal Pradesh,Upper Siang,0.21578947368421053,13.847368421052632,-26.979166666666668,0,4.8828125,Monitor / No Action
Arunachal Pradesh,Upper Subansiri,1.4479166666666667,53.447916666666664,-52.0,0,57.71484375,Monitor / No Action
Arunachal Pradesh,West Kameng,0.4831858407079646,13.263716814159292,-70.10679611650485,0,12.109375,Monitor / No Action
Arunachal Pradesh,West Siang,0.577639751552795,21.51552795031056,-66.75247524752476,0,24.8046875,Monitor / No Action
Assam,Bajali,0.07386363636363637,1.9005681818181819,-7.564705882352941,0,7.12890625,Monitor / No Action
Assam,Baksa,2.064516129032258,16.872695852534562,-242.5188679245283,0,53.80859375,Monitor / No Action
Assam,Barpeta,6.463841547673883,63.44173192077384,-1156.0654205607477,0,91.9921875,Extra Counters
Assam,Biswanath,0.9556724267468069,12.931630353117956,-151.8095238095238,0,30.46875,Monitor / No Action
Assam,Bongaigaon,2.564462809917355,50.684297520661154,-544.1588785046729,0,65.234375,Monitor / No Action
Assam,Cachar,3.545005149330587,22.081565396498455,-849.0094339622641,0,69.53125,Monitor / No Action
Assam,Charaideo,1.3889541715628673,18.45828437132785,-142.41176470588235,0,35.9375,Monitor / No Action
Assam,Chirang,2.9603603603603603,32.836036036036035,-318.86538461538464,0,53.22265625,Monitor / No Action
Assam,Darrang,5.520029673590504,34.574925816023736,-373.0095238095238,0,70.1171875,Monitor / No Action
Assam,Dhemaji,5.910512597741095,31.715030408340574,-277.57943925233644,0,67.3828125,Monitor / No Action
Assam,Dhubri,6.1563745019920315,58.57171314741036,-992.9245283018868,0,88.96484375,Extra Counters
Assam,Dibrugarh,2.975799481417459,20.217372515125323,-387.3495145631068,0,36.03515625,Monitor / No Action
Assam,Goalpara,7.789895749799519,44.62309542902967,-441.6442307692308,0,84.86328125,Monitor / No Action
Assam,Golaghat,6.241873278236914,22.81542699724518,-292.0485436893204,0,77.05078125,Monitor / No Action
Assam,Hailakandi,3.8509272467902997,26.184736091298145,-301.0769230769231,0,76.5625,Monitor / No Action
Assam,Hojai,7.154639175257732,47.84639175257732,-368.8878504672897,0,78.90625,Monitor / No Action
Assam,Jorhat,1.7635687732342007,11.130111524163569,-239.96190476190475,0,53.41796875,Monitor / No Action
Assam,Kamrup,3.5406546990496306,19.836589229144668,-582.3490566037735,0,56.34765625,Monitor / No Action
Assam,Kamrup Metro,1.7033922876196,13.076833864888373,-373.5904761904762,0,39.6484375,Monitor / No Action
Assam,Karbi Anglong,4.3919514884233735,33.885336273428884,-509.53333333333336,0,55.56640625,Monitor / No Action
Assam,Karimganj,5.86069851465275,26.009233239662787,-478.0,0,81.8359375,Monitor / No Action
Assam,Kokrajhar,2.9561805101373446,29.243296272073252,-372.1574074074074,0,70.5078125,Monitor / No Action
Assam,Lakhimpur,4.42473454091193,34.30980637101811,-447.1588785046729,0,69.62890625,Monitor / No Action
Assam,Majuli,1.225419664268585,14.093525179856115,-54.2020202020202,0,26.26953125,Monitor / No Action
Assam,Marigaon,7.521580102414045,48.12362838332114,-523.6132075471698,0,89.84375,Extra Counters
Assam,Nagaon,3.785027059530968,56.185207456404086,-1628.8130841121495,0,65.72265625,Monitor / No Action
Assam,Nalbari,1.5286415711947627,13.944762684124386,-289.0,0,40.234375,Monitor / No Action
Assam,North Cachar Hills,1.8826714801444044,12.290613718411553,-54.91428571428571,0,26.7578125,Monitor / No Action
Assam,Sibsagar,1.1240016813787306,8.73224043715847,-177.45098039215685,0,26.953125,Monitor / No Action
Assam,Sonitpur,2.4509750068662455,16.426805822576217,-475.5700934579439,0,52.1484375,Monitor / No Action
Assam,South Salmara Mankachar,3.6105527638190953,51.26130653266332,-180.61904761904762,0,68.9453125,Monitor / No Action
Assam,Sribhumi,0.11881918819188192,3.090036900369004,-41.50515463917526,0,8.203125,Monitor / No Action
Assam,Tamulpur District,0.14917127071823205,2.8093922651933703,-11.068965517241379,0,6.93359375,Monitor / No Action
Assam,Tinsukia,3.332248881659211,18.235054900366002,-349.0095238095238,0,69.04296875,Monitor / No Action
Assam,Udalguri,2.1072615092548648,17.01376364499288,-302.0,0,50.68359375,Monitor / No Action
Assam,West Karbi Anglong,4.668329177057356,10.852867830423941,-24.8,0,95.5078125,Extra Counters
Bihar,Araria,8.257096069868995,149.20032751091702,-2435.9245283018868,0,92.3828125,Extra Counters
Bihar,Arwal,3.341354723707665,46.19607843137255,-457.93333333333334,0,76.7578125,Monitor / No Action
Bihar,Aurangabad,3.6239379386775026,64.00036941263392,-1541.877358490566,0,81.73828125,Monitor / No Action
Bihar,Aurangabad(Bh),0.2611764705882353,1.7505882352941176,-6.806451612903226,0,47.16796875,Monitor / No Action
Bihar,Banka,4.029012810851545,62.31876412961567,-1473.3428571428572,0,77.734375,Monitor / No Action
Bihar,Begusarai,4.03870761356366,78.67274472168906,-2221.961904761905,0,80.37109375,Monitor / No Action
Bihar,Bhabua,0.26956521739130435,1.0695652173913044,-1.3333333333333333,0,49.70703125,Monitor / No Action
Bihar,Bhagalpur,6.555060471037556,80.59325270528326,-2174.0934579439254,0,85.05859375,Extra Counters
Bihar,Bhojpur,3.2783531194746147,50.6228845668098,-1768.2735849056603,0,77.63671875,Monitor / No Action
Bihar,Buxar,2.70735524256651,43.08489827856025,-982.9047619047619,0,74.51171875,Monitor / No Action
Bihar,Darbhanga,3.700170773359356,79.2139546230788,-2920.103773584906,0,74.31640625,Monitor / No Action
Bihar,East Champaran,7.396299151888974,101.81855564122334,-3466.009433962264,0,85.44921875,Extra Counters
Bihar,Gaya,7.806301050175029,94.85443407234538,-2815.103773584906,0,87.5,Extra Counters
Bihar,Gopalganj,6.767547857793984,82.62488605287147,-1570.1037735849056,0,81.25,Monitor / No Action
Bihar,Jamui,8.02065131056394,102.76171564733916,-1135.990476190476,0,86.03515625,Extra Counters
Bihar,Jehanabad,2.3561780890445223,35.271135567783894,-620.7264150943396,0,64.94140625,Monitor / No Action
Bihar,Kaimur (Bhabua),6.872858431018936,115.03967538322813,-1131.6698113207547,0,84.9609375,Monitor / No Action
Bihar,Katihar,7.135024920706842,156.85953783416403,-3117.377358490566,0,92.48046875,Extra Counters
Bihar,Khagaria,5.296843519140363,92.44392209536602,-1224.1698113207547,0,91.015625,Extra Counters
Bihar,Kishanganj,10.0734394124847,298.69277845777236,-2224.5471698113206,0,95.703125,Extra Counters
Bihar,Lakhisarai,6.179303278688525,86.3360655737705,-752.2403846153846,0,71.2890625,Monitor / No Action
Bihar,Madhepura,4.7780852241283895,101.41062534587715,-1647.311320754717,0,89.74609375,Extra Counters
Bihar,Madhubani,5.939181286549708,86.3178947368421,-3152.467889908257,0,84.47265625,Monitor / No Action
Bihar,Monghyr,0.25,1.566326530612245,-3.0714285714285716,0,41.89453125,Monitor / No Action
Bihar,Munger,5.358695652173913,81.97010869565217,-813.2596153846154,0,80.76171875,Monitor / No Action
Bihar,Muzaffarpur,5.539937353171496,70.41523101018011,-3097.03738317757,0,76.171875,Monitor / No Action
Bihar,Nalanda,4.7027657447517495,78.04865044985004,-2076.5188679245284,0,80.17578125,Monitor / No Action
Bihar,Nawada,6.365482233502538,63.58037225042301,-1276.0,0,88.0859375,Extra Counters
Bihar,Near University Thana,0.0,1.0,-1.0,0,2.001953125,Monitor / No Action
Bihar,Patna,3.7796104304115614,61.99073201382344,-3463.2897196261683,0,72.36328125,Monitor / No Action
Bihar,Purba Champaran,0.1936,1.4896,-8.901098901098901,0,36.5234375,Monitor / No Action
Bihar,Purnea,0.4594594594594595,12.236036036036037,-65.36,0,23.73046875,Monitor / No Action
Bihar,Purnia,7.335454885810558,125.90677648820666,-2987.7735849056603,0,93.06640625,Extra Counters
Bihar,Rohtas,2.511620294599018,65.01996726677578,-1801.5377358490566,0,66.6015625,Monitor / No Action
Bihar,Saharsa,7.09695603156708,100.50507328072153,-1563.2641509433963,0,88.57421875,Extra Counters
Bihar,Samastipur,4.63335837716003,87.63536188329577,-3156.447619047619,0,84.08203125,Monitor / No Action
Bihar,Samstipur,0.16993464052287582,1.159041394335512,-5.044444444444444,0,36.1328125,Monitor / No Action
Bihar,Saran,4.657086614173228,53.0,-2316.811320754717,0,84.66796875,Monitor / No Action
Bihar,Sheikhpura,3.9252577319587627,79.5,-553.2641509433962,0,86.1328125,Extra Counters
Bihar,Sheikpura,0.2109375,2.046875,-2.9375,0,17.578125,Monitor / No Action
Bihar,Sheohar,4.99176276771005,94.37561779242175,-516.7238095238096,0,86.23046875,Extra Counters
Bihar,Sitamarhi,16.774869109947645,122.61296818364882,-2367.5315315315315,0,95.01953125,Extra Counters
Bihar,Siwan,3.4972960263343524,50.594168822007994,-1889.6509433962265,0,69.921875,Monitor / No Action
Bihar,Supaul,4.407553798858147,83.58498023715416,-1700.8207547169811,0,83.69140625,Monitor / No Action
Bihar,Vaishali,4.792090085141445,77.20406481735787,-2487.2830188679245,0,85.83984375,Extra Counters
Bihar,West Champaran,15.776898734177216,180.66139240506328,-2949.254716981132,0,94.3359375,Extra Counters
Chandigarh,Chandigarh,1.2593840230991338,62.996631376323386,-1221.8095238095239,0,45.80078125,Monitor / No Action
Chandigarh,Mohali,0.0,1.0,-1.0,0,2.001953125,Monitor / No Action
Chandigarh,Rupnagar,0.0967741935483871,1.0,-1.0,0,15.234375,Monitor / No Action
Chhattisgarh,Balod,1.5647058823529412,118.80980392156863,-1149.9038461538462,0,48.14453125,Monitor / No Action
Chhattisgarh,Baloda Bazar,2.569634079737848,121.7602403058438,-2078.457142857143,0,64.0625,Monitor / No Action
Chhattisgarh,Balrampur,8.33240997229917,131.97645429362882,-850.2,0,89.453125,Extra Counters
Chhattisgarh,Bastar,5.672774869109948,131.0366492146597,-1381.4134615384614,0,92.67578125,Extra Counters
Chhattisgarh,Bemetara,3.1019698725376594,173.55504055619932,-1414.4326923076924,0,78.22265625,Monitor / No Action
Chhattisgarh,Bijapur,11.367697594501719,63.118556701030926,-286.84761904761905,0,95.1171875,Extra Counters
Chhattisgarh,Bilaspur,3.7373390557939916,128.2549356223176,-2737.0377358490564,0,68.26171875,Monitor / No Action
Chhattisgarh,Dakshin Bastar Dantewada,1.6121045392022009,42.59147180192572,-297.92,0,57.51953125,Monitor / No Action
Chhattisgarh,Dantewada,1.288888888888889,37.172222222222224,-191.85148514851485,0,42.87109375,Monitor / No Action
Chhattisgarh,Dhamtari,1.5584415584415585,99.10957792207792,-1166.8252427184466,0,40.72265625,Monitor / No Action
Chhattisgarh,Durg,1.5784590560709963,93.22589753933038,-2163.752380952381,0,47.94921875,Monitor / No Action
Chhattisgarh,Gariyaband,0.8594563331405437,40.57779063042221,-673.2647058823529,0,21.19140625,Monitor / No Action
Chhattisgarh,Gaurela-Pendra-Marwahi,0.4943820224719101,18.853932584269664,-49.515151515151516,0,19.140625,Monitor / No Action
Chhattisgarh,Janjgir - Champa,0.25,2.553030303030303,-3.6626506024096384,0,40.13671875,Monitor / No Action
Chhattisgarh,Janjgir Champa,0.08362369337979095,1.2439024390243902,-3.9176470588235293,0,14.6484375,Monitor / No Action
Chhattisgarh,Janjgir-Champa,2.3589878755930416,133.74327886136004,-2351.2830188679245,0,56.0546875,Monitor / No Action
Chhattisgarh,Jashpur,1.764792899408284,91.24926035502959,-1152.2190476190476,0,57.91015625,Monitor / No Action
Chhattisgarh,Kabeerdham,2.5331491712707184,138.21270718232043,-476.8543689320388,0,67.87109375,Monitor / No Action
Chhattisgarh,Kanker,1.2779953014878622,57.07909162098669,-698.6078431372549,0,36.23046875,Monitor / No Action
Chhattisgarh,Kawardha,5.07,250.235,-933.9619047619047,0,84.5703125,Monitor / No Action
Chhattisgarh,Khairagarh Chhuikhadan Gandai,0.6893491124260355,17.54437869822485,-59.34375,0,48.53515625,Monitor / No Action
Chhattisgarh,Kondagaon,4.357879234167894,137.52430044182623,-886.4705882352941,0,90.91796875,Extra Counters
Chhattisgarh,Korba,2.0298769771528997,90.53544229642648,-1452.6826923076924,0,54.00390625,Monitor / No Action
Chhattisgarh,Koriya,1.27286470143613,63.47316704459561,-798.9417475728155,0,48.4375,Monitor / No Action
Chhattisgarh,Mahasamund,4.50354609929078,267.12198581560284,-1780.25,0,79.6875,Monitor / No Action
Chhattisgarh,Manendragarhchirmiribharatpur,0.0,104.0,-104.0,0,2.001953125,Monitor / No Action
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,0.5284403669724771,7.921100917431192,-41.96875,0,32.12890625,Monitor / No Action
Chhattisgarh,Mohalla-Manpur-Ambagarh Chowki,0.1111111111111111,1.829059829059829,-3.140625,0,23.6328125,Monitor / No Action
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,0.6893732970027248,57.97547683923706,-210.24,0,35.64453125,Monitor / No Action
Chhattisgarh,Mungeli,4.164179104477612,190.7089552238806,-1201.7788461538462,0,72.16796875,Monitor / No Action
Chhattisgarh,Narayanpur,6.2844827586206895,265.92241379310343,-292.40776699029124,0,93.75,Extra Counters
Chhattisgarh,Raigarh,3.08,144.43555555555557,-2140.721153846154,0,60.7421875,Monitor / No Action
Chhattisgarh,Raipur,2.1246105919003115,85.98348909657321,-2539.5,0,62.79296875,Monitor / No Action
Chhattisgarh,Rajnandgaon,3.14937106918239,199.41588050314465,-2423.7961165048546,0,70.703125,Monitor / No Action
Chhattisgarh,Sakti,0.6541244573082489,16.421128798842258,-107.87128712871286,0,28.41796875,Monitor / No Action
Chhattisgarh,Sarangarh-Bilaigarh,0.31907308377896615,12.745098039215685,-74.15957446808511,0,12.79296875,Monitor / No Action
Chhattisgarh,Sukma,5.532133676092545,100.92544987146529,-363.80392156862746,0,85.25390625,Extra Counters
Chhattisgarh,Surajpur,2.8741116751269034,101.58781725888325,-926.0285714285715,0,71.6796875,Monitor / No Action
Chhattisgarh,Surguja,2.997384481255449,139.4106364428945,-1490.152380952381,0,82.03125,Monitor / No Action
Chhattisgarh,Uttar Bastar Kanker,0.6529182879377432,30.77976653696498,-379.53921568627453,0,21.09375,Monitor / No Action
Dadra and Nagar Haveli and Daman and Diu,Dadra & Nagar Haveli,0.21008403361344538,5.815126050420168,-7.940476190476191,0,7.6171875,Monitor / No Action
Dadra and Nagar Haveli and Daman and Diu,Dadra And Nagar Haveli,3.9690721649484537,89.89690721649484,-320.5769230769231,0,65.8203125,Monitor / No Action
Dadra and Nagar Haveli and Daman and Diu,Daman,0.4716981132075472,30.91320754716981,-79.08823529411765,0,16.50390625,Monitor / No Action
Dadra and Nagar Haveli and Daman and Diu,Diu,0.3247232472324723,15.808118081180812,-43.708333333333336,0,16.015625,Monitor / No Action
Delhi,Central Delhi,4.2766190998902305,93.91108671789243,-770.3490566037735,0,91.89453125,Extra Counters
Delhi,East Delhi,11.901565995525727,268.36241610738256,-2183.5809523809526,0,88.671875,Extra Counters
Delhi,Najafgarh,0.3448275862068966,11.206896551724139,-10.862068965517242,0,12.3046875,Monitor / No Action
Delhi,New Delhi,5.234726688102894,23.083601286173632,-55.51,0,96.58203125,Extra Counters
Delhi,North Delhi,10.397094430992736,277.5762711864407,-1040.9905660377358,0,96.6796875,Extra Counters
Delhi,North East,5.563934426229508,183.77704918032788,-517.6666666666666,0,86.71875,Extra Counters
Delhi,North East Delhi,25.564655172413794,497.89224137931035,-2067.5471698113206,0,95.41015625,Extra Counters
Delhi,North West Delhi,8.669463087248323,300.42393736017897,-4875.2990654205605,0,90.0390625,Extra Counters
Delhi,Shahdara,4.021327014218009,65.81279620853081,-253.16504854368932,0,41.30859375,Monitor / No Action
Delhi,South Delhi,6.524444444444445,181.64444444444445,-3345.4528301886794,0,85.9375,Extra Counters
Delhi,South East Delhi,0.5894736842105263,15.242105263157894,-14.652631578947368,0,23.14453125,Monitor / No Action
Delhi,South West Delhi,3.5999202233745513,101.58595931392102,-2317.4622641509436,0,65.13671875,Monitor / No Action
Delhi,West Delhi,18.00186567164179,305.40018656716416,-2852.6944444444443,0,94.53125,Extra Counters
Goa,Bardez,0.03773584905660377,1.169811320754717,-1.4634146341463414,0,6.640625,Monitor / No Action
Goa,Bicholim,0.0,1.0,-1.0,0,2.001953125,Monitor / No Action
Goa,North Goa,0.34179181771103057,13.301398239254272,-481.25,0,14.74609375,Monitor / No Action
Goa,South Goa,0.32808219178082193,14.659931506849315,-402.3942307692308,0,7.71484375,Monitor / No Action
Goa,Tiswadi,0.0,1.0,-1.0,0,2.001953125,Monitor / No Action
Gujarat,Ahmadabad,2.0390408853366124,6.530894558868736,-140.5,0,95.60546875,Extra Counters
Gujarat,Ahmedabad,2.4111747851002865,77.81206043240427,-5461.584905660377,0,60.83984375,Monitor / No Action
Gujarat,Amreli,1.3289808917197452,28.4343949044586,-818.375,0,43.5546875,Monitor / No Action
Gujarat,Anand,1.2366202346041055,26.11143695014663,-1304.9711538461538,0,45.5078125,Monitor / No Action
Gujarat,Arvalli,1.3416909620991253,20.752186588921283,-323.19417475728153,0,50.9765625,Monitor / No Action
Gujarat,Banaskantha,6.486455551316292,78.55284242655475,-1816.2115384615386,0,85.7421875,Extra Counters
Gujarat,Bharuch,1.1760445682451253,30.69108635097493,-1018.8365384615385,0,42.1875,Monitor / No Action
Gujarat,Bhavnagar,2.49925,46.689,-1699.6057692307693,0,59.1796875,Monitor / No Action
Gujarat,Botad,2.5843694493783302,19.411190053285967,-183.95145631067962,0,73.92578125,Monitor / No Action
